Description,Size,Bedrooms,Bathrooms,Building Type,Area,Price
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,36500
Residential Land for Sale in Al Batinah Barka,,,,Lands,Al Batinah,41000
53m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,53,1,2,Apartments,Muscat,27000
121m2 3 Bedrooms Apartments for Sale in Muscat Al-Sifah,121,3,3,Apartments,Muscat,85000
3 Bedrooms Farms for Sale in Muscat Al-Sifah,,3,5,Farms & Chalets,Muscat,163300
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
68m2 1 Bedroom Apartments for Sale in Muscat Bosher,68,1,3,Apartments,Muscat,29700
410m2 More than 6 bedrooms Villa for Sale in Muscat Seeb,410,,,Villa,Muscat,79000
117m2 2 Bedrooms Apartments for Sale in Muscat Qurm,117,2,2,Apartments,Muscat,50000
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,42000
3 Bedrooms Farms for Sale in Muscat Al-Sifah,,3,5,Farms & Chalets,Muscat,163300
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
68m2 1 Bedroom Apartments for Sale in Muscat Bosher,68,1,3,Apartments,Muscat,29700
400m2 More than 6 bedrooms Villa for Sale in Muscat Seeb,400,,5,Villa,Muscat,67000
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,5700
Residential Land for Sale in Dhofar Salala,,,,Lands,Dhofar,17000
3 Bedrooms Farms for Sale in Muscat Al-Sifah,,3,5,Farms & Chalets,Muscat,163300
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,36500
289m2 4 Bedrooms Villa for Sale in Al Batinah Al Masnaah,289,4,5,Villa,Al Batinah,
Commercial Land for Sale in Muscat Al-Hail,,,,Commercial,Muscat,220000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,64000
3 Bedrooms Farms for Sale in Muscat Al-Sifah,,3,5,Farms & Chalets,Muscat,163300
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
68m2 1 Bedroom Apartments for Sale in Muscat Bosher,68,1,3,Apartments,Muscat,29700
391m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,391,,,Villa,Muscat,75000
Residential Land for Sale in Al Batinah Wadi Al Ma'awal,,,,Lands,Al Batinah,32000
68m2 1 Bedroom Apartments for Sale in Muscat Bosher,68,1,3,Apartments,Muscat,29700
3 Bedrooms Farms for Sale in Muscat Al-Sifah,,3,5,Farms & Chalets,Muscat,163300
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
68m2 1 Bedroom Apartments for Sale in Muscat Bosher,68,1,3,Apartments,Muscat,29700
Commercial Land for Sale in Al Batinah Suwaiq,,,,Commercial,Al Batinah,23000
Residential Land for Sale in Muscat Bosher,,,,Lands,Muscat,110000
300m2 5 Bedrooms Villa for Sale in Al Batinah Barka,300,5,,Villa,Al Batinah,55000
3 Bedrooms Farms for Sale in Muscat Al-Sifah,,3,5,Farms & Chalets,Muscat,163300
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,36500
700m2 More than 6 bedrooms Villa for Sale in Muscat Ansab,700,,,Villa,Muscat,230000
30m2 Shops for Sale in Muscat Bosher,30,,,Commercial,Muscat,38000
286m2 More than 6 bedrooms Villa for Sale in Muscat Seeb,286,,,Villa,Muscat,90000
3 Bedrooms Farms for Sale in Muscat Al-Sifah,,3,5,Farms & Chalets,Muscat,163300
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,36500
Residential Land for Sale in Al Batinah Barka,,,,Lands,Al Batinah,29000
353m2 More than 6 bedrooms Townhouse for Sale in Muscat Amerat,353,,,Townhouses,Muscat,82000
Commercial Land for Sale in Al Batinah Barka,,,,Commercial,Al Batinah,75000
3 Bedrooms Farms for Sale in Muscat Al-Sifah,,3,5,Farms & Chalets,Muscat,163300
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,36500
278m2 1 Bedroom Townhouse for Sale in Al Batinah Barka,278,1,5,Townhouses,Al Batinah,59000
Residential Land for Sale in Muscat Qantab,,,,Lands,Muscat,33000
90m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,90,3,2,Apartments,Muscat,23000
3 Bedrooms Farms for Sale in Muscat Al-Sifah,,3,5,Farms & Chalets,Muscat,163300
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
68m2 1 Bedroom Apartments for Sale in Muscat Bosher,68,1,3,Apartments,Muscat,29700
36m2 Shops for Sale in Muscat Al Khoud,36,,,Commercial,Muscat,29000
112m2 3 Bedrooms Apartments for Sale in Muscat Al Khoud,112,3,3,Apartments,Muscat,
330m2 4 Bedrooms Villa for Sale in Muscat Bosher,330,4,4,Villa,Muscat,87000
3 Bedrooms Farms for Sale in Muscat Al-Sifah,,3,5,Farms & Chalets,Muscat,163300
413m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Izki,413,,,Townhouses,Al Dakhiliya,62
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,65000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,82000
800m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,800,,,Villa,Muscat,195000
456m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,456,,,Villa,Muscat,148000
139m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,139,2,2,Apartments,Muscat,135000
64m2 Shops for Sale in Muscat Seeb,64,,,Commercial,Muscat,15
5+ floors Building for Sale in Muscat Other,,,,Whole Building,Muscat,
Mixed Use Land for Sale in Muscat Bosher,,,,Lands,Muscat,500
Residential Land for Sale in Al Batinah Suwaiq,,,,Lands,Al Batinah,3300
2 Bedrooms Farms for Sale in Al Sharqiya Al Qabil,,2,4,Farms & Chalets,Al Sharqiya,60000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,15500
Residential Land for Sale in Muscat Amerat,,,,Lands,Muscat,55000
Residential Land for Sale in Muscat Al Khoud,,,,Lands,Muscat,197000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
